UTC Time,Latitude,Longitude,Altitude
2023-09-12T23:20:04.341,,,
2023-09-12T23:20:05.342,,,
2023-09-12T23:20:06.343,0.0,0.0,0.457
2023-09-12T23:20:07.346,0.0,0.0,0.203
2023-09-12T23:20:08.348,0.0,0.0,0.2
2023-09-12T23:20:09.350,0.0,0.0,0.2
2023-09-12T23:20:10.351,0.0,0.0,0.262
2023-09-12T23:20:11.353,0.0,0.0,-0.096
2023-09-12T23:20:12.355,0.0,0.0,0.025
2023-09-12T23:20:13.357,0.0,0.0,0.087
2023-09-12T23:20:14.358,0.0,0.0,0.113
2023-09-12T23:20:15.360,0.0,0.0,0.214
2023-09-12T23:20:16.362,0.0,0.0,0.019
2023-09-12T23:20:17.363,0.0,0.0,0.197
2023-09-12T23:20:18.365,0.0,0.0,-0.259
2023-09-12T23:20:19.367,0.0,0.0,0.121
2023-09-12T23:20:20.370,0.0,0.0,0.005
2023-09-12T23:20:21.371,0.0,0.0,0.062
2023-09-12T23:20:22.373,0.0,0.0,0.132
2023-09-12T23:20:23.375,0.0,0.0,0.132
2023-09-12T23:20:24.376,0.0,0.0,0.115
2023-09-12T23:20:25.378,0.0,0.0,0.454
2023-09-12T23:20:26.380,0.0,0.0,0.341
2023-09-12T23:20:27.382,0.0,0.0,0.33
2023-09-12T23:20:28.384,0.0,0.0,0.243
2023-09-12T23:20:29.385,0.0,0.0,0.124
2023-09-12T23:20:30.387,50.7529348,6.0723379,0.296
2023-09-12T23:20:31.390,50.7529511,6.0723186,0.228
2023-09-12T23:20:32.392,50.7529722,6.0722997,0.322
2023-09-12T23:20:33.394,50.7530063,6.0722893,0.358
2023-09-12T23:20:34.396,50.7530232,6.0722957,0.302
2023-09-12T23:20:35.397,50.7530232,6.0722957,0.248
2023-09-12T23:20:36.397,50.7530232,6.0722957,-0.039
2023-09-12T23:20:37.399,50.7531089,6.0723834,0.259
2023-09-12T23:20:38.401,50.7531026,6.0723815,0.35
2023-09-12T23:20:39.403,50.7531213,6.0723895,0.226
2023-09-12T23:20:40.405,50.7531458,6.0723878,0.381
2023-09-12T23:20:41.407,50.7531326,6.0723806,0.339
2023-09-12T23:20:42.409,50.7531425,6.0723772,0.333
2023-09-12T23:20:43.411,50.7531552,6.0723723,0.353
2023-09-12T23:20:44.414,50.753139,6.0723647,0.361
2023-09-12T23:20:45.416,50.7531391,6.0723668,0.064
2023-09-12T23:20:46.418,50.7531427,6.0723686,0.452
2023-09-12T23:20:47.420,50.7531032,6.0723568,0.042
2023-09-12T23:20:48.422,50.7531044,6.0723568,0.214
2023-09-12T23:20:49.424,50.7531064,6.0723558,-0.028
2023-09-12T23:20:50.425,50.7530675,6.0723495,0.341
2023-09-12T23:20:51.427,50.7530632,6.0723521,0.002
2023-09-12T23:20:52.427,50.7530596,6.0723542,0.457
2023-09-12T23:20:53.429,50.7530486,6.0723621,0.291
2023-09-12T23:20:54.430,50.7530419,6.0723659,0.364
2023-09-12T23:20:55.431,50.753038,6.072379,0.07
2023-09-12T23:20:56.433,50.7530364,6.0723879,0.129
2023-09-12T23:20:57.434,50.7529607,6.0723838,0.081
2023-09-12T23:20:58.435,50.7528141,6.0723679,0.305
2023-09-12T23:20:59.439,50.7527565,6.0723623,0.347
2023-09-12T23:21:00.441,50.7527197,6.072361,0.291
2023-09-12T23:21:01.442,50.7526945,6.0723613,0.429
2023-09-12T23:21:02.443,50.7526747,6.0723605,0.155
2023-09-12T23:21:03.445,50.7526574,6.0723589,0.138
2023-09-12T23:21:04.446,50.7526451,6.0723588,0.257
2023-09-12T23:21:05.448,50.752622,6.0723566,0.194
2023-09-12T23:21:06.449,50.7526256,6.0723585,0.454
2023-09-12T23:21:07.451,50.7526289,6.0723596,0.203
2023-09-12T23:21:08.452,50.7526413,6.0723618,0.291
2023-09-12T23:21:09.454,50.7526449,6.0723616,0.217
2023-09-12T23:21:10.456,50.7526463,6.0723618,0.336
2023-09-12T23:21:11.458,50.7526492,6.0723602,0.57
2023-09-12T23:21:12.459,50.7526539,6.0723594,0.44
2023-09-12T23:21:13.461,50.7526564,6.072361,0.437
2023-09-12T23:21:14.462,50.7526572,6.0723612,0.463
2023-09-12T23:21:15.464,50.75266,6.0723623,0.412
2023-09-12T23:21:16.465,50.7526624,6.0723646,0.146
2023-09-12T23:21:17.467,50.7526624,6.072367,0.104
2023-09-12T23:21:18.468,50.7526622,6.072373,0.488
2023-09-12T23:21:19.471,50.7526595,6.0723765,0.324
2023-09-12T23:21:20.475,50.7526551,6.0723798,0.361
2023-09-12T23:21:21.478,50.7526547,6.0723824,0.322
2023-09-12T23:21:22.481,50.7526504,6.0723839,0.33
2023-09-12T23:21:23.484,50.7526471,6.0723854,0.406
2023-09-12T23:21:24.487,50.7526406,6.0723844,0.141
2023-09-12T23:21:25.492,50.7526407,6.072385,0.271
2023-09-12T23:21:26.494,50.7526387,6.0723856,0.545
2023-09-12T23:21:27.499,50.7526447,6.0723862,0.129
2023-09-12T23:21:28.501,50.7526477,6.0723878,0.384
2023-09-12T23:21:29.502,50.7526561,6.0723909,0.556
2023-09-12T23:21:30.505,50.7526608,6.0723927,0.279
2023-09-12T23:21:31.507,50.7526666,6.0723943,0.169
2023-09-12T23:21:32.508,50.7526634,6.0723936,0.429
2023-09-12T23:21:33.511,50.7526515,6.0723891,0.437
2023-09-12T23:21:34.513,50.7526581,6.0723866,0.579
2023-09-12T23:21:35.514,50.7526625,6.0723829,0.291
2023-09-12T23:21:36.515,50.7526803,6.0723814,0.302
2023-09-12T23:21:37.517,50.7526943,6.0723787,0.347
2023-09-12T23:21:38.519,50.75269,6.0723716,0.415
2023-09-12T23:21:39.521,50.7526828,6.0723729,0.514
2023-09-12T23:21:40.522,50.7526831,6.0723855,0.46
2023-09-12T23:21:41.523,50.7526968,6.0723782,0.259
2023-09-12T23:21:42.526,50.7527285,6.0723522,0.474
2023-09-12T23:21:43.529,50.7527338,6.07235,0.457
2023-09-12T23:21:44.532,50.7527309,6.0723504,0.254
